2869 6348 6404 6823 6689 6853;136353 245198 5 144393 245201 7 33413 -1 0 3651 -1 0
1357 4594 6423 6551 6406;1822 41068 21 21083 41082 6 11334 -1 0 2455 -1 0
2731 4294 6404 6466 6823 6941;426 213201 6 157096 213233 4 1064 -1 0 92376 -1 0
2470 4421 6404;32281 168277 57 37395 168308 7 104717 168342 17 877 -1 0 33203 -1 0 2682 -1 0
236 3225 6404 6397;1396 2627 5 1469 2632 10 1369 2644 5 145949 -1 0 9712 -1 0 8335 -1 0
2426 5904 6404 6466 6514;3690 162527 7 2103 162548 14 18861 -1 0 77844 -1 0
1469 4718 6381;22471 47862 5 9003 47863 14 29289 -1 0 33518 -1 0
316 2997 6400 6443;2131 3819 5 630 3830 4 9622 -1 0 36066 -1 0
2607 3980 6404 6917 6707;30859 193786 10 44434 193787 9 993 193799 17 41145 -1 0 67820 -1 0 25 -1 0
930 3192 6381 6668 6669;5555 20568 6 180 20578 19 64489 99290 21 90197 132936 9 1428 -1 0 42104 -1 0 35264 -1 0 63284 -1 0
2753 6171 6404 6947;23721 217429 20 2639 217439 14 154256 217454 7 30859 217461 16 16768 -1 0 111890 -1 0 97765 -1 0 34451 -1 0
487 3490 6423;2131 6915 6 82 6916 13 16768 -1 0 37243 -1 0
2152 5344 6404 6770 6460;20225 128316 4 30859 128317 10 29098 -1 0 88 -1 0
1723 5081 6423 6427 6785 6786;7788 74307 5 3684 74347 4 97829 -1 0 25837 -1 0
507 3510 6466 6534;4105 7240 6 630 7241 24 37825 -1 0 37243 -1 0
2062 5513 6404 6465;69621 118460 9 10832 118463 5 14 -1 0 7568 -1 0
1572 4845 6423;31426 55569 16 21011 55575 14 2135 55579 11 31714 55602 10 43755 -1 0 83792 -1 0 109576 -1 0 57177 -1 0
127 3086 6399;247 1032 8 63 1036 4 48093 -1 0 674 -1 0
1933 5351 6381 6432 6590 6457;69186 105387 4 69223 105451 4 9365 -1 0 1504 -1 0
1739 5103 6381 6389 6551 6539;877 75453 6 39132 75461 6 11255 -1 0 4134 -1 0
1434 4652 6465 6689 6390;8783 46107 13 1295 46119 8 1406 -1 0 111064 -1 0
2295 5757 6404 6400 6466;67405 142556 26 72048 142572 24 2814 -1 0 30417 -1 0
2706 6199 6404 6466;3690 208183 15 1192 208228 6 184428 -1 0 64280 -1 0
1409 4652 6404 6388;1193 44797 7 20225 44798 6 31714 -1 0 121101 -1 0
1974 5414 6423 6583 6534 6825;993 110463 12 72070 110470 6 1876 -1 0 1875 -1 0
2785 6275 6404 6573 6644 6703;1192 228604 8 126936 228607 17 8771 -1 0 37655 -1 0
2052 3725 6404 6466 6402 6661;2103 117524 9 30859 117598 4 57105 117620 6 2382 -1 0 8852 -1 0 31426 -1 0
1705 4124 6404 6491 6519;1192 72338 17 113908 197530 11 11122 -1 0 6037 -1 0
2733 5123 6404 6823 6749 6942;63896 214517 4 175260 233249 6 2092 -1 0 1336 -1 0
88 2965 6431 6469;154 654 9 515 655 23 473 658 5 143145 -1 0 7342 -1 0 136353 -1 0
2311 5177 6404 6583 6770 6432 6530;61 145205 5 70761 145206 6 4571 -1 0 64235 -1 0
2334 5804 6423;6219 149632 7 993 149637 6 74024 -1 0 15715 -1 0
828 3375 6404 6413;2092 16886 49 8493 17637 8 18943 -1 0 42489 -1 0
2329 5369 6404 6770;993 148785 8 3690 148787 4 116 -1 0 73196 -1 0
2344 5792 6404 6466 6823;5555 151524 5 6965 151526 4 125653 -1 0 28773 -1 0
395 3340 6404 6399 6573;630 5015 48 1396 5016 19 2374 5019 26 21728 89193 35 121237 169212 9 108470 -1 0 9622 -1 0 92192 -1 0 195610 -1 0 1262 -1 0
1002 4159 6404 6400 6399;10768 23043 7 1186 23044 23 36483 -1 0 110427 -1 0
1545 3874 6404 6454 6466 6546;6974 53087 5 1186 53089 28 33041 -1 0 145297 -1 0
1299 4513 6404 6727;13101 37175 7 2374 37432 14 5116 -1 0 6965 -1 0
2523 6004 6404 6770 6639;426 177386 8 127597 177408 4 86287 -1 0 112485 -1 0
1100 4279 6423;6219 27733 9 7788 27745 17 44223 72139 23 106724 150670 9 9598 -1 0 112254 -1 0 1357 -1 0 158002 -1 0
172 3001 6409 6386 6461;630 1571 5 154 1573 10 29 1574 5 63 1579 7 1111 33353 7 10079 -1 0 84013 -1 0 147737 -1 0 60581 -1 0 38099 -1 0
2844 6319 6413 6446;2453 238352 4 32815 238359 5 48361 -1 0 12818 -1 0
968 3443 6423 6498;5555 21751 5 993 21801 4 26604 -1 0 12916 -1 0
455 3340 6404 6399 6390 6487;2241 6298 9 34 6299 16 2374 6421 34 24700 -1 0 1376 -1 0 137660 -1 0
2850 6309 6413 6446 6492;28019 239647 11 34007 239650 4 44522 -1 0 11635 -1 0
1889 5290 6381 6578 6811;28065 98530 14 877 98558 6 99415 -1 0 154256 -1 0
168 2937 6413 6439 6492;193 1524 12 154 1525 9 177540 -1 0 7490 -1 0
665 3735 6400 6409;1945 11667 10 1186 11668 9 630 11669 12 33466 -1 0 92378 -1 0 44271 -1 0
1447 4655 6404 6465;8783 46959 4 1192 46961 8 25917 46993 4 62869 -1 0 186524 -1 0 70730 -1 0
2553 6034 6423 6427 6406 6899;1822 183892 5 3684 183902 6 3710 -1 0 4008 -1 0
1233 4432 6381;993 34383 7 9003 34384 6 7024 -1 0 136284 -1 0
1522 3575 6454 6465 6466 6656;1186 51341 4 3690 51419 6 4408 -1 0 31714 -1 0
1830 4636 6381 6389 6525 6639 6687;877 86649 12 34007 86653 8 16210 130102 4 177211 -1 0 45437 -1 0 87535 -1 0
1167 4357 6423 6462 6390;7788 30639 21 33955 58449 12 134691 -1 0 29401 -1 0
2231 5689 6404 6764;86623 136735 19 1186 136740 34 50697 -1 0 2103 -1 0
1940 5361 6404 6466 6432 6809;4103 106002 5 6965 106003 4 50 -1 0 28984 -1 0
1600 4888 6404 6419 6568;33970 58910 8 3020 63259 6 4782 -1 0 24164 -1 0
672 3747 6423 6438;3710 11895 158 3684 11916 6 53304 163668 7 30044 -1 0 25836 -1 0 22633 -1 0
2742 6234 6404 6390 6823 6774;15356 215392 15 60085 215395 8 4331 -1 0 193 -1 0
2842 3980 6404 6573 6917 6481;104717 237937 12 1192 237954 17 53319 -1 0 21731 -1 0
2501 5985 6381 6551 6884;95107 173872 4 1876 173891 5 3879 -1 0 81624 -1 0
2373 3483 6404 6388 6897;2232 155655 8 33354 155665 59 1192 155670 145 41723 -1 0 111872 -1 0 121096 -1 0
2573 5068 6404;426 187569 9 157 187573 7 1584 -1 0 60085 -1 0
1591 4870 6431;33064 57446 4 10361 57453 25 10927 -1 0 1336 -1 0
475 3481 6400 6409 6572;2374 6702 7 426 6706 11 8519 -1 0 507 -1 0
2874 6151 6404 6770 6390 6774 6689;8783 246373 10 32281 246375 15 68662 246376 9 157 246377 5 35264 -1 0 108321 -1 0 10522 -1 0 415 -1 0
2439 5919 6404 6405 6847;1514 164467 6 1192 164505 7 63684 -1 0 8493 -1 0
803 3908 6404 6405;1561 15865 5 1469 15867 6 64142 -1 0 2293 -1 0
2793 6283 6404 6823;1192 229577 7 993 229600 6 36809 231226 10 1860 -1 0 2232 -1 0 4843 -1 0
1273 4477 6404 6400 6667;1186 35895 5 708 35904 8 4511 -1 0 5512 -1 0
1719 5076 6404 6454 6455 6518;2241 73835 12 1186 73919 75 144307 -1 0 70730 -1 0
34 2959 6381 6409 6431;51 240 11 97 241 59 81 256 4 175455 -1 0 21809 -1 0 142768 -1 0
962 4112 6578 6525 6473;180 21486 5 1396 21489 4 4473 -1 0 2417 -1 0
902 4021 6464;9345 19497 6 6441 19522 18 2660 -1 0 28533 -1 0
709 3483 6404 6525 6463;6597 12811 7 708 12868 7 2374 12956 5 1186 12957 4 4134 -1 0 47540 -1 0 14506 -1 0 147667 -1 0
2412 5879 6404 6423 6466 6519;993 160356 4 88191 160358 5 3684 160361 10 35705 -1 0 117388 -1 0 33090 -1 0
2839 5967 6404 6388 6823;6141 237510 13 104717 237514 9 36366 -1 0 3396 -1 0
1049 3930 6423 6507;6219 24850 13 2639 169379 5 154216 -1 0 28611 -1 0
2206 5653 6404 6770 6608;46185 134529 23 66829 134530 7 10832 134536 10 63436 -1 0 976 -1 0 8335 -1 0
1270 4474 6388 6525 6385;12818 35813 8 8332 35823 11 190 -1 0 5355 -1 0
1448 4695 6404 6465;2241 46981 13 418 46982 7 154 -1 0 116653 -1 0
1510 4182 6404 6454 6558 6603 6737;6974 50709 18 28533 50710 10 1357 184640 4 58081 -1 0 25871 -1 0 75565 -1 0
2887 6363 6404 6465 6390 6823;112822 249469 5 144393 249474 11 48699 -1 0 15375 -1 0
2036 5177 6404 6397 6770 6764 6398;33638 116348 20 72048 116349 4 10832 116351 21 149935 -1 0 91686 -1 0 46242 -1 0
1245 4442 6404 6454 6520;15011 34986 15 1192 34987 5 71 -1 0 22315 -1 0
971 4120 6404 6644;6318 21900 12 2718 21921 11 38099 64718 7 62605 -1 0 91686 -1 0 22447 -1 0
2662 6151 6404 6454 6390 6632 6774;1186 203503 4 10832 203517 4 9825 -1 0 121114 -1 0
2060 5454 6404 6397 6845;11635 118337 5 44434 118338 4 5935 -1 0 77103 -1 0
243 3209 6404 6525 6545;630 2692 11 1369 2693 17 418 2702 9 71655 -1 0 105640 -1 0 5621 -1 0
2667 6155 6404 6576 6928;39384 204303 8 79569 205223 4 22 -1 0 87965 -1 0
920 3192 6381 6549 6580 6664;6037 21619 4 180 24904 49 97224 140477 4 69307 -1 0 154752 -1 0 127597 -1 0
888 4011 6404 6409 6400 6465 6397;2241 18944 7 1186 18945 10 85955 -1 0 1096 -1 0
383 3394 6399 6388 6461;630 4784 5 34 4786 4 117459 -1 0 130034 -1 0
2500 5984 6423 6744;2639 173835 5 3684 173879 12 2445 -1 0 157018 -1 0
