284 1 209 212 1208 125 77 6 225 113 69 793 105 28 96 284 81 68 25 643,1,5232
376 192 13 39 2064 13 5817 3136 8916 376 847 39 1967 356 3 127 89 4327,1,5262
544 3 13 621 214 5025 1485 3 1108 2265 345 1222 741 1062 98 1245 112 198 237 778,1,5273
65 316 21 31 455 5 999 92 31 455 5 999 132 71 685 159 1911 479 457 66,1,5295
66 2 435 702 130 258 1337 253 1340 995 316 27 1827 130 258 1337 3 556 260 1079,1,5341
948 26 27 1 3 92 1775 137 554 1 3 948 26 27 1 3,1,5381
92 72 4428 1 2343 13 304 1313 1948 74 101 12 380 149 1684,1,5389
262 127 89 8922 127 89 9 2376 23 32 1349 637 7117 3 2376 262 2376,1,5457
14 2 597 74 16 378 74 16 2 105 14 3,1,5566
1 3 421 1556 2133 491 112 114 444 52 73 237 778 562 125 384 2584 44 19 72,1,5628
242 187 57 8 3142 8923 2999 1288 3873 179 732 4002 135 642 1086 235 179 258 594 2929,1,5673
137 165 375 10 8924 7 94 1103 660 8925 307 2113 1016 581 7 1645 262 214 70 7,1,5768
919 1024 575 503 642 919 575 83 108 101 515 20 91 575 1024 2772 503 246 155 238,1,5830
21 72 28 96 18 57 1363 306 21 72 28 96 18 57 1363 306 20 70 18 41,1,5884
256 119 3 123 256 119 3 123 1409 65 1481 513 19 3 119 513 409 277 119 830,1,5956
1646 105 2253 1 7164 1 91 1607 105 2253 739 65 316 27 275 3 50 434 662 373,1,6034
869 7 84 2469 84 383 122 143 2001 383 67 2001 383 89 79 688 100 67 237 30,1,6042
1146 218 282 63 225 3 1091 65 621 5855 227 1146 209 149 7172 876 608 67 8959 6655,1,6046
260 1213 917 203 126 26 1213 20 260 203 126 26 122 32 21 126 26 358 295 10,1,6063
48 128 2 551 1708 1 3 562 890 1 3 8966 551 734 2 67 95 1168 777 396,1,6118
413 1649 847 1063 2356 595 1 136 1 67 3802 1545 25 65 1802 606 413 483 847 595,1,6199
1397 5434 172 3 79 886 3672 125 1160 30 3 8971 3670 8972 402 4713 697 21 839 19,1,6203
99 43 1666 129 171 1367 3591 1619 495 445 5900 133 37 362 403 21 327 184 37 66,1,6233
