ExpertID   TeamID    QuestionIDwithBestAnswer    Score 
38781 611 9501 7.0
38782 5013 4774 13.0
38783 2834 178 5.0
38784 8483 6846 13.0
38785 3391 7797 15.0
38786 4929 2612 61.0
38787 3397 1528 150.0
38788 3402 364 25.0
38789 4536 3176 14.0
38790 7248 4425 199.0
38791 3801 1878 50.0
38792 3449 275 47.0
38793 2499 4399 27.0
38794 3492 9117 119.0
38796 109 199 8.0
38797 109 199 4.0
38798 180 200 18.0
38799 3503 3379 17.0
38800 586 202 9.0
38801 36 331 12.0
38802 3505 7637 12.0
38803 5127 2407 86.0
38564 1971 3289 46.0
38805 2055 411 183.0
38806 3517 208 14.0
38719 3272 286 33.0
38807 4008 299 20.0
38808 5978 1258 23.0
38809 592 212 7.0
38810 592 212 9.0
38811 3541 213 12.0
38812 3547 8633 67.0
38813 3548 792 9.0
38814 4299 5505 42.0
38815 2056 218 4.0
38816 1888 365 11.0
38817 915 223 18.0
38818 1347 369 56.0
38819 2063 239 44.0
38820 1099 226 14.0
38821 157 612 40.0
38822 594 1395 42.0
38823 4702 838 58.0
38718 3518 339 51.0
38824 73 2039 33.0
38825 921 6071 16.0
38826 2063 239 11.0
38827 2063 239 15.0
38828 2063 239 77.0
38829 2063 239 9.0
38830 2063 239 44.0
38831 2063 239 4.0
38832 2063 239 26.0
38833 2063 239 6.0
38834 4801 9414 17.0
38835 2063 239 34.0
38836 2063 239 13.0
38837 3675 800 8.0
38838 6790 1565 113.0
38839 2063 239 60.0
38840 3741 1424 106.0
38841 3755 3071 11.0
38842 2063 239 28.0
38843 2063 239 8.0
38844 2063 239 4.0
38845 3995 1066 137.0
38846 3801 1878 10.0
38847 2063 239 6.0
38848 2063 239 7.0
38849 2063 239 5.0
38850 2063 239 11.0
38851 407 994 11.0
38852 627 243 23.0
38853 3785 1280 26.0
38854 627 243 6.0
38855 627 243 20.0
38856 3792 449 16.0
38857 3796 8532 22.0
38858 483 246 6.0
38859 3798 248 22.0
38860 3798 248 19.0
38861 732 9801 30.0
38862 3802 1154 7.0
38863 1347 369 13.0
38864 3798 248 5.0
38865 3798 248 7.0
38866 3798 248 10.0
38867 3804 4313 19.0
38868 4222 5057 40.0
38504 3797 392 39.0
38704 1572 9451 12.0
38869 1695 250 15.0
38870 1695 250 24.0
38871 276 3017 51.0
38872 5762 10056 24.0
38873 4702 838 88.0
38874 1898 251 5.0
38875 4732 9731 50.0
38876 3852 255 4.0
38877 3852 255 12.0
38878 3855 5634 33.0
38879 3858 257 5.0
38880 3858 257 21.0
38881 4029 2058 26.0
38882 569 260 11.0
38883 569 260 4.0
38884 1891 262 10.0
38885 5999 4118 42.0
38886 1108 263 5.0
38887 32 268 7.0
38888 55 270 13.0
38889 3884 3798 31.0
38890 3889 8253 28.0
38891 20 732 24.0
38892 3894 3975 23.0
38893 7750 2443 42.0
38894 4348 1548 46.0
38895 3941 857 13.0
38896 119 282 6.0
38897 119 282 5.0
38898 119 282 4.0
38899 4111 1133 10.0
38900 502 2343 18.0
38901 119 282 6.0
38902 3630 9888 8.0
38903 731 285 5.0
38760 7237 2503 23.0
38905 3965 1256 52.0
38906 198 289 7.0
38907 974 713 20.0
38908 198 289 8.0
38909 3979 7826 33.0
38910 3986 2194 14.0
38904 489 292 14.0
38911 1180 293 10.0
38912 1442 8321 37.0
38913 3988 295 4.0
38914 4140 4913 29.0
38915 3988 295 10.0
38916 3991 5888 20.0
38917 1804 2199 8.0
38703 4702 838 21.0
38918 6046 1049 34.0
38605 2275 8654 59.0
38919 3992 1014 42.0
38920 1347 369 30.0
38921 1805 5102 14.0
38922 4008 299 4.0
38923 4008 299 5.0
38924 2687 1812 12.0
38925 4008 299 8.0
38926 4008 299 7.0
38927 4008 299 7.0
38928 4035 9843 116.0
38929 4664 3302 110.0
38930 4041 304 7.0
38720 1338 518 53.0
38555 1941 9570 15.0
38931 5156 3854 28.0
38932 6444 1559 16.0
38933 1477 312 6.0
38934 1477 312 17.0
38935 1477 312 16.0
38936 1477 312 5.0
38937 3952 313 5.0
38938 417 2929 54.0
38939 2747 316 10.0
38940 2573 2441 22.0
38941 4058 3404 19.0
38942 4059 2121 21.0
38943 4010 1408 22.0
38944 3741 1424 28.0
38945 8538 5086 15.0
38946 247 321 4.0
38947 2060 324 23.0
38948 2060 324 34.0
38949 2573 2441 88.0
38950 1579 328 8.0
38951 4348 1548 35.0
38952 1524 3239 34.0
38953 1279 332 15.0
38711 8169 3536 77.0
38954 734 341 4.0
38955 4097 1429 12.0
38956 6717 3199 14.0
38957 4193 2592 56.0
38958 4108 345 10.0
38642 2702 9338 31.0
38959 4116 353 24.0
38723 7117 1855 80.0
38960 359 356 21.0
38961 359 356 21.0
38962 359 356 18.0
38963 359 356 6.0
38964 4625 1506 22.0
38965 1888 365 7.0
38966 4117 1244 18.0
38967 1347 369 23.0
38968 1347 369 26.0
38969 1347 369 72.0
38970 1347 369 12.0
38971 1347 369 32.0
38972 1347 369 11.0
38724 157 612 122.0
38973 1347 369 41.0
38974 1347 369 4.0
38975 1509 827 50.0
38976 5159 1233 156.0
38977 1347 369 5.0
38978 1347 369 12.0
38979 1347 369 14.0
38980 1347 369 8.0
38981 1347 369 7.0
38982 1347 369 6.0
38983 1347 369 6.0
38984 4158 3272 9.0
38985 5747 1919 19.0
38986 1347 369 23.0
38987 1564 2273 58.0
38988 1347 369 5.0
38989 6538 2114 43.0
38990 2532 2238 40.0
38991 1347 369 5.0
38992 1347 369 6.0
38993 6745 6463 7.0
38994 9533 8846 9.0
38995 4214 8204 24.0
38996 1925 375 7.0
38997 467 379 4.0
38998 349 2517 16.0
38999 3629 381 4.0
39001 1940 1081 55.0
39002 1239 1995 41.0
39003 4239 6679 12.0
39004 4966 3039 48.0
39005 7275 3306 40.0
39006 4265 389 9.0
39007 3574 391 12.0
39008 4277 742 47.0
